StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DEPRESSION_AdjPrev,DEPRESSION_Adj95CI,MedianIncome,PovertyRate
NC,North Carolina,Currituck,37053,31015,24131,23.6,"(19.9, 27.2)",24.3,"(20.6, 28.0)",82793,8.5
NC,North Carolina,Polk,37149,19986,16898,20.4,"(17.1, 24.0)",23.3,"(19.6, 27.3)",60465,11.0
NC,North Carolina,Madison,37115,21768,18131,24.0,"(20.3, 27.9)",25.7,"(21.8, 29.9)",56664,12.5
NC,North Carolina,Clay,37043,11614,9847,23.2,"(19.6, 27.2)",26.4,"(22.4, 30.8)",57065,13.5
NC,North Carolina,Burke,37023,87881,72247,24.0,"(20.5, 28.0)",25.3,"(21.6, 29.4)",53732,17.0
NC,North Carolina,Alexander,37003,36512,29357,23.8,"(20.3, 27.8)",24.9,"(21.3, 29.0)",62764,12.2
NC,North Carolina,Caswell,37033,22614,18570,22.2,"(18.8, 25.9)",23.3,"(19.8, 27.1)",56999,15.4
NC,North Carolina,Northampton,37131,16779,13851,19.7,"(16.5, 23.1)",21.7,"(18.1, 25.3)",45698,18.7
NC,North Carolina,Watauga,37189,55089,48616,26.0,"(22.1, 30.1)",25.7,"(21.7, 29.7)",50034,24.9
NC,North Carolina,Wilson,37195,78449,60652,22.6,"(19.1, 26.4)",23.5,"(20.0, 27.5)",49827,20.4
NC,North Carolina,Granville,37077,61903,49520,22.0,"(18.5, 25.6)",22.5,"(19.0, 26.2)",68079,14.4
NC,North Carolina,Surry,37171,71403,56506,25.9,"(22.2, 29.9)",27.0,"(23.2, 31.1)",52743,17.9
NC,North Carolina,Stokes,37169,45175,36874,24.1,"(20.4, 28.2)",25.7,"(21.7, 29.9)",57539,12.0
NC,North Carolina,Durham,37063,332680,268509,21.7,"(18.6, 25.0)",21.4,"(18.4, 24.8)",74927,12.3
NC,North Carolina,Forsyth,37067,389157,302280,22.0,"(18.7, 25.4)",22.5,"(19.1, 25.9)",61229,15.2
NC,North Carolina,Buncombe,37021,273589,225801,23.2,"(19.9, 26.7)",24.3,"(20.9, 27.9)",66531,11.2
NC,North Carolina,Lee,37105,65476,50217,24.2,"(20.6, 28.1)",24.8,"(21.1, 28.7)",60941,16.0
NC,North Carolina,Pender,37141,65737,51154,22.5,"(18.9, 26.3)",23.5,"(19.8, 27.4)",74538,11.7
NC,North Carolina,Lenoir,37107,54633,42248,22.3,"(18.8, 26.2)",23.8,"(20.1, 27.9)",43063,22.4
NC,North Carolina,Cumberland,37051,336699,252559,23.3,"(19.9, 27.0)",23.3,"(19.8, 26.9)",55551,17.6
NC,North Carolina,Chowan,37041,13940,11202,21.9,"(18.4, 25.7)",23.8,"(20.1, 27.8)",51188,20.9
